# subscribed links TSV file

type	HousingKeywords	name	category	cities	isrent	issell	rentline	sellline
type	HousingCity	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingDistrict	city	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingNeighborhood	city	district	name	relatedrent1	relatedrent2	relatedrent3	relatedsell1	relatedsell2	relatedsell3	rentnum	tenantnum	sellnum

type	HousingHotCities	city1	city2	city3	city4	city5	city6	city7	city8	city9	city10	city11	city12	city13	city14

data	HousingHotCities	HHC001	北京	上海	广州	深圳	南京	重庆	天津	沈阳	成都	哈尔滨	苏州	杭州	武汉	青岛

data	HousingKeywords	HK000	房屋信息	出租	HHC001	HK000	HK000	HK000	HK000	房屋	房屋信息	房子	房子信息	看房	住房	找房子
data	HousingKeywords	HK001	租房	出租	HHC001	HK001		HK001		租房	求租	出租	出租房	租赁	租房信息	租屋	短租房	短期租房	房屋出租	出租房屋	房屋租赁	租房网	租房信息网	房屋求租	求租房屋	日租房	出租房源
data	HousingKeywords	HK002	找合租	合租	HHC001			HK002		合租	合租房	找合租	合租房源
data	HousingKeywords	HK003	二手房	出售	HHC001				HK003	二手房	卖房	卖屋	售房	售屋	二手房信息	2手房	2手房信息	找二手房	二手房网	二手房信息网	出售房源	二手房源	二手房房源
data	HousingKeywords	HK004	买房	出售	HHC001		HK004		HK004	买房	买房信息	购房	购房信息	购屋	房产	房产信息	房产网	房产信息网	买房网	购房网	购房信息网	房源	房源网	房源信息	房源信息网	房地产	房地产网


data	HousingNeighborhood	HN04537	天津	河西区	福建路	HN04512	HN04541	HN04510	HN04541	HN04512	HN04454	564	10	731	天津福建路	天津河西福建路	天津河西区福建路	天津市福建路	天津市河西福建路	天津市河西区福建路	河西福建路	河西区福建路
data	HousingNeighborhood	HN05799	济南	历城区	洪楼	HN05790	HN05803	HN05795	HN05790	HN05803	HN05795	2430	483	5136	济南洪楼	济南历城洪楼	济南历城区洪楼	济南市洪楼	济南市历城洪楼	济南市历城区洪楼	洪楼	历城洪楼	历城区洪楼
data	HousingNeighborhood	HN03691	北京	通州区	玉桥北里	HN03735	HN02847	HN03683	HN03735	HN02847	HN03653	70	18	187	北京玉桥北里	北京通州玉桥北里	北京通州区玉桥北里	北京市玉桥北里	北京市通州玉桥北里	北京市通州区玉桥北里	玉桥北里	通州玉桥北里	通州区玉桥北里
data	HousingNeighborhood	HN00432	上海	杨浦区	锦丽斯公寓	HN00440			HN00440			6	1	94	上海锦丽斯公寓	上海杨浦锦丽斯公寓	上海杨浦区锦丽斯公寓	上海市锦丽斯公寓	上海市杨浦锦丽斯公寓	上海市杨浦区锦丽斯公寓	锦丽斯公寓	杨浦锦丽斯公寓	杨浦区锦丽斯公寓
data	HousingNeighborhood	HN04614	宁波	江东区	民安路	HN04619	HN04645		HN04645	HN04619		168	68	140	宁波民安路	宁波江东民安路	宁波江东区民安路	宁波市民安路	宁波市江东民安路	宁波市江东区民安路	民安路	江东民安路	江东区民安路
data	HousingNeighborhood	HN02035	北京	崇文区	新世界家园	HN02070	HN02074	HN01986	HN02070	HN02074	HN01986	120	3	440	北京新世界家园	北京崇文区新世界家园	北京崇文新世界家园	北京市新世界家园	北京市崇文区新世界家园	北京市崇文新世界家园	新世界家园	崇文区新世界家园	崇文新世界家园
data	HousingNeighborhood	HN05202	成都	郫县	羊市街西延线	HN05206	HN05207	HN05199	HN05206	HN05207	HN05199	27	0	137	成都羊市街西延线	成都郫县羊市街西延线	成都市羊市街西延线	成都市郫县羊市街西延线	羊市街西延线	郫县羊市街西延线
data	HousingNeighborhood	HN07151	苏州		金鸡湖路	HN07091	HN07114	HN07026	HN07091	HN07026	HN07114	1363	27	861	苏州金鸡湖路	苏州市金鸡湖路	金鸡湖路
data	HousingNeighborhood	HN04367	天津	河东区	中山门街	HN04377	HN04370	HN04369	HN04377	HN04370	HN04349	2855	14	7453	天津中山门街	天津河东区中山门街	天津河东中山门街	天津市中山门街	天津市河东区中山门街	天津市河东中山门街	中山门街	河东区中山门街	河东中山门街
data	HousingNeighborhood	HN05785	济南	历城区	七里堡	HN05790	HN05803	HN05799	HN05790	HN05803	HN05799	705	70	3199	济南七里堡	济南历城七里堡	济南历城区七里堡	济南市七里堡	济南市历城七里堡	济南市历城区七里堡	七里堡	历城七里堡	历城区七里堡
data	HousingNeighborhood	HN05924	深圳	南山区	桂庙新村	HN06181	HN06022	HN06039	HN06181	HN06039	HN06022	100	43	10	深圳桂庙新村	深圳南山区桂庙新村	深圳南山桂庙新村	深圳市桂庙新村	深圳市南山区桂庙新村	深圳市南山桂庙新村	桂庙新村	南山区桂庙新村	南山桂庙新村
data	HousingNeighborhood	HN01050	上海	长宁区	长宁路	HN01004	HN01005	HN01034	HN01004	HN01005	HN00965	3111	239	5007	上海长宁路	上海长宁区长宁路	上海长宁长宁路	上海市长宁路	上海市长宁区长宁路	上海市长宁长宁路	长宁路	长宁区长宁路	长宁长宁路
